prod_title,by_info,price,avg_cust_review,num_reviews,seller_name,details,url
JBL Charge 4 Powerful 30W IPX7 Waterproof Portable Bluetooth Speaker with 20 Hours Playtime & Built-in 7500 mAh Powerbank(Black),JBL,"₹ 12,999.00",4.2 out of 5 stars,"4,766",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Charge-Powerful-Portable-Speaker/dp/B07HGHRYCY/ref=sr_1_51?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-51
JBL JR Pop Portable Speaker for Kids (Teal),JBL,"₹ 2,016.00",4.7 out of 5 stars,213,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Portable-Speaker-Kids-Teal/dp/B07HGG3XFZ/ref=sr_1_52?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-52
JBL Flip 4 Portable Wireless Speaker with Powerful Bass & Mic (Grey),JBL,"₹ 7,468.00",4.1 out of 5 stars,"26,659",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Portable-Wireless-Speaker-Powerful/dp/B01N1RZC7S/ref=sr_1_53?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-53
JBL Wind Portable Bluetooth Speaker with FM Radio and Supports Micro SD Card (Black),JBL,"₹ 3,499.00",3.6 out of 5 stars,175,ALL IT GADGETS,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Wind-Portable-Bluetooth-Supports/dp/B07N8DDVB8/ref=sr_1_54?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-54
JBL JR Pop Portable Speaker for Kids (Purple),JBL,"₹ 2,028.00",4.7 out of 5 stars,213,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Portable-Speaker-Kids-Purple/dp/B07HGFK96V/ref=sr_1_55?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-55
JBL Xtreme 2 Portable Wireless Bluetooth Speaker (Blue),JBL,"₹ 16,999.00",4.3 out of 5 stars,"1,466",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Portable-Wireless-Bluetooth-Speaker/dp/B07CVP5TVZ/ref=sr_1_56?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-56
"JBL SB110 Powerful Wireless Soundbar with Built-in Subwoofer (110 Watts, 4 Woofers, Dolby Digital Sound)",JBL,"₹ 7,999.00",3.6 out of 5 stars,758,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Powerful-Wireless-Subwoofer-110/dp/B07S63CNFF/ref=sr_1_57?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-57
JBL Boom Box Most-Powerful Portable Speaker with 20000MAH Battery Built-in Power Bank (Black),JBL,"₹ 23,999.00",4.4 out of 5 stars,"1,098",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Most-Powerful-Portable-Speaker-20000MAH/dp/B075XR7W41/ref=sr_1_58?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-58
Amkette Boomer Bolt 280 Portable Wireless Bluetooth Speaker with Upto 8 Hours of Playback and TWS Function (IPX7 Waterproof and Floating Design) (Black),Amkette,"₹ 1,399.00",4.5 out of 5 stars,33,Amkette Official,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A04049168ZOQGC0OQQD2&url=%2FAmkette-Bluetooth-Speaker-1%2Fdp%2FB07RY967Y8%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3Djbl%2Bspeaker%26qid%3D1595677975%26sr%3D8-59-spons%26psc%3D1&qualifier=1595677978&id=5710180687910153&widgetName=sp_mtf
Welrock TG113 Super Bass Splashproof Wireless Bluetooth Speaker Best Sound Quality Playing with Mobile/Tablet/Laptop/AUX/Memory Card/Pan Drive/FM,WELROCK,₹ 579.00,4.0 out of 5 stars,19,Welrock,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 10 Day Warranty",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A01062131Y9T4VXHDURDP&url=%2FWelrock-TG113-Splashproof-Wireless-Bluetooth%2Fdp%2FB07TTP2TJK%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3Djbl%2Bspeaker%26qid%3D1595677975%26sr%3D8-60-spons%26psc%3D1&qualifier=1595677978&id=5710180687910153&widgetName=sp_mtf
JBL JR Pop Portable Speaker for Kids (Red),JBL,"₹ 2,023.00",4.7 out of 5 stars,213,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Pop-Portable-Speaker-Kids/dp/B07HGGCTNH/ref=sr_1_61?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-61
JBL Flip 4 Portable Wireless Speaker with Powerful Bass & Mic (Squad),JBL,"₹ 7,499.00",4.1 out of 5 stars,"26,659",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Flip-Portable-Wireless-Powerful/dp/B076CG24YJ/ref=sr_1_62?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-62
JBL Pulse 3 Wireless Portable Speaker with Vibrant Lightshow (Black),JBL,"₹ 11,999.00",4.4 out of 5 stars,244,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/Jbl-Pulse-Portable-Wireless-Speaker/dp/B071K8LJ86/ref=sr_1_63?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-63
JBL Horizon Wireless Portable Bluetooth Speaker With Alarm Clock (Black),JBL,"₹ 5,990.00",5.0 out of 5 stars,1,ACE E-Tail,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Horizon-Wireless-Portable-Bluetooth/dp/B00SA8RPVQ/ref=sr_1_64?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-64
JBL Flip 4 Portable Wireless Speaker with Powerful Bass & Mic (White),JBL,"₹ 7,499.00",4.1 out of 5 stars,"26,659",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Portable-Wireless-Speaker-Powerful/dp/B01N2TLGMF/ref=sr_1_65?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-65
JBL Flip 4 Portable Wireless Speaker with Powerful Bass & Mic (Red),JBL,"₹ 7,499.00",4.1 out of 5 stars,"26,659",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Portable-Wireless-Powerful-Red/dp/B01NAIV5N8/ref=sr_1_66?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-66
JBL Charge 4 Powerful 30W IPX7 Waterproof Portable Bluetooth Speaker with 20 Hours Playtime & Built-in 7500 mAh Powerbank(Pink),JBL,"₹ 12,999.00",4.2 out of 5 stars,"4,766",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Charge-Powerful-Portable-Speaker/dp/B07HGGDRXD/ref=sr_1_67?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-67
"JBL Flip 5 20 W IPX7 Waterproof Bluetooth Speaker with PartyBoost (Without Mic, Teal)",JBL,"₹ 8,999.00",4.1 out of 5 stars,"2,647",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Flip-Waterproof-Bluetooth-PartyBoost/dp/B07VQLWCJF/ref=sr_1_68?dchild=1&keywords=jbl+speaker&qid=1595677975&sr=8-68
WELROCK Super Bass Splashproof Bluetooth Speaker with Mobile/Tablet/Laptop/AUX/Memory Card/Pan Drive/FM (Army Print),WELROCK,₹ 569.00,3.5 out of 5 stars,148,Welrock,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, Warranty Policy",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A0491111O745RPOTTY07&url=%2FWELROCK-Splashproof-Bluetooth-Speaker-Mobile%2Fdp%2FB07K3V43NQ%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3Djbl%2Bspeaker%26qid%3D1595677975%26sr%3D8-69-spons%26psc%3D1&qualifier=1595677978&id=5710180687910153&widgetName=sp_btf
FLORID Star 7 Water Resistance IPx6 Portable Bluetooth Wireless Speakers (Grey),FLORID,"₹ 1,199.00",3.7 out of 5 stars,3,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A03089651DS4OJ0JFOLDT&url=%2FFLORID-Star-Resistance-Portable-Bluetooth%2Fdp%2FB085311ZV5%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3Djbl%2Bspeaker%26qid%3D1595677975%26sr%3D8-70-spons%26psc%3D1&qualifier=1595677978&id=5710180687910153&widgetName=sp_btf
Zebronics BT4440RUCF 4.1 Channel Multimedia Speakers,Zebronics,"₹ 2,999.00",3.8 out of 5 stars,"5,585",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A01111241V9L69XKJBXCG&url=%2FZebronics-BT4440RUCF-Channel-Multimedia-Speakers%2Fdp%2FB014UTBZIM%2Fref%3Dsr_1_65_sspa%3Fdchild%3D1%26keywords%3Djbl%2Bspeaker%26qid%3D1595677979%26sr%3D8-65-spons%26psc%3D1&qualifier=1595677982&id=4568870795527351&widgetName=sp_atf_next
Amkette Boomer Maxx 500 Portable Wireless Bluetooth Speaker with Upto 16 Hours of Playback and TWS Function (IPX7 Waterproof and Floating Design) (16 Watts) (Black) (1 Year Warranty),Amkette,"₹ 2,299.00",4.0 out of 5 stars,34,Amkette Official,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg5_1?ie=UTF8&adId=A08028103T3MYPM85MMSS&url=%2FAmkette-Bluetooth-Speaker-2%2Fdp%2FB07RZ845T3%2Fref%3Dsr_1_66_sspa%3Fdchild%3D1%26keywords%3Djbl%2Bspeaker%26qid%3D1595677979%26sr%3D8-66-spons%26psc%3D1&qualifier=1595677982&id=4568870795527351&widgetName=sp_atf_next
"JBL Flip 5 20 W IPX7 Waterproof Bluetooth Speaker with PartyBoost (Without Mic, Teal)",JBL,"₹ 8,999.00",4.1 out of 5 stars,"2,647",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Flip-Waterproof-Bluetooth-PartyBoost/dp/B07VQLWCJF/ref=sr_1_67?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-67
"JBL Flip 5 20 W IPX7 Waterproof Bluetooth Speaker with PartyBoost (Without Mic, Sand)",JBL,"₹ 8,999.00",4.1 out of 5 stars,"2,647",Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Flip-Waterproof-Bluetooth-PartyBoost/dp/B07VPH2943/ref=sr_1_68?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-68
JBL JR Pop Portable Speaker for Kids (Green),JBL,"₹ 1,979.00",4.7 out of 5 stars,213,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Portable-Speaker-Kids-Green/dp/B07N7LTH1T/ref=sr_1_69?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-69
JBL - 8124 - CEILING SPEAKER PACK OF 4,JBL,"₹ 12,300.00",3.8 out of 5 stars,7,Amaz0n Exclusive Online Store,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-8124-CEILING-SPEAKER-PACK/dp/B01KQ7DXJ6/ref=sr_1_70?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-70
(Renewed) JBL Tuner Wireless Bluetooth Speaker with DAB/FM Radio (Black),Amazon Renewed,"₹ 3,290.00",4.0 out of 5 stars,37,STAR-MARK,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 6 Month Warranty",https://www.amazon.in/Renewed-JBL-Wireless-Bluetooth-Speaker/dp/B07SRTW4YK/ref=sr_1_71?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-71
JBL Voyager Black,JBL,"₹ 14,000.00",2.9 out of 5 stars,9,Home & Audio,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Voyager-black/dp/B00FIZ1SWQ/ref=sr_1_72?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-72
"JBL Pulse 4 Portable Bluetooth Speaker with 360-Degree LED Lightshow,12Hours Playtime, PartyBoost & IPX7 Waterproof (White)",JBL,"₹ 15,999.00",4.3 out of 5 stars,76,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered",https://www.amazon.in/JBL-Bluetooth-360-Degree-PartyBoost-Waterproof/dp/B07XS446YB/ref=sr_1_73?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-73
JBL Flip 3 JBLFLIP3BLK Portable Wireless Speaker with Powerful Sound and Mic (Black),JBL,"₹ 6,499.00",4.2 out of 5 stars,"2,032",UniqueClick,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Portable-Wireless-Speaker-Powerful/dp/B010RWAIAC/ref=sr_1_74?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-74
"RAEGR AirDrums 400 TWS Mini Bluetooth Speaker with in Built Mic, 3W Output, Deep Bass, 10H Playtime with 520mAH, Bluetooth 5.0, HD Sound Ultra Portable Wireless Speaker - Black RG10116 (Pack of 2)",RAEGR,"₹ 1,499.00",4.2 out of 5 stars,33,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A01270132BD5T1L4H2GKV&url=%2FRAEGR-AirDrums-400-Bluetooth-Playtime%2Fdp%2FB07ZQ21C1Q%2Fref%3Dsr_1_75_sspa%3Fdchild%3D1%26keywords%3Djbl%2Bspeaker%26qid%3D1595677979%26sr%3D8-75-spons%26psc%3D1&qualifier=1595677982&id=4568870795527351&widgetName=sp_mtf
FLORID Star 7 Water Resistance IPx6 Portable Bluetooth Wireless Speakers (Blue),FLORID,"₹ 1,199.00",3.7 out of 5 stars,3,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A03088093OOEL9WZHJZDV&url=%2FFLORID-Star-Resistance-Portable-Bluetooth%2Fdp%2FB0853222R1%2Fref%3Dsr_1_76_sspa%3Fdchild%3D1%26keywords%3Djbl%2Bspeaker%26qid%3D1595677979%26sr%3D8-76-spons%26psc%3D1&qualifier=1595677982&id=4568870795527351&widgetName=sp_mtf
(Renewed) JBL Flip 3 Stealth Waterproof Portable Bluetooth Speaker (Black),Amazon Renewed,,4.0 out of 5 stars,72,,"10 Days Replacement, 6 Month Warranty",https://www.amazon.in/Renewed-JBL-Waterproof-Portable-Bluetooth/dp/B07Q2FY255/ref=sr_1_77?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-77
JBL Bar 2.0 Wireless Soundbar with Built-in Dual Bass Port (Black),JBL,"₹ 8,299.00",3.9 out of 5 stars,241,Appario Retail Private Ltd,"No-Contact Delivery, 10 Days Replacement, Amazon Delivered, 1 Year Warranty",https://www.amazon.in/JBL-Bar-2-0-Wireless-Soundbar/dp/B07ML8LFRN/ref=sr_1_78?dchild=1&keywords=jbl+speaker&qid=1595677979&sr=8-78
